product name,quantity,
Rays ,9 pcs,
Scoth tape 2 baga light,6pcs,
Scoth tape 2 baga dark ,6pcs,
Scoth tape 2 nipis gamay ,18 pcs,
scoth tape 1 light ,6pcs,
Nano tape 3/4 ,7Roll,
Nano tape 1/2 ,7 Roll,
Double sided 1/2 tape 10xm joy,7 Roll, 
Shades UV 400/ black UVA/UVB,0pcs,
Shades rybond,7pcs,
Shades 100%,7pcs,
Shades 400 small ,7pcs,
Reading glass,5pcs,
Nail file black, 6pcs,
Glue Joy  30g ,8pcs,
Glue kangna twin ,2set,
Bond aid 1pc ,2box,
Pencil Mongol 2 12 pcs in a box,2box,
Blade dorco 2 boxes 10x 10,20 boxes,
Marker pilot black ,12pcs,
Ballpen panda black ,100 pcs,
Sign pen k-03 0.5  Black,12pcs,
Sign pen G-388  0.5 ,12 pcs,
Sign pen G-16 ,12pcs,
Sign pen ipen 16 0.5 ,24 pcs,
CPS 7.1 ,21pcs,
CPS 4.0,10 pcs,
CPS 10.9 ,30pcs,
CPS 0.00 ,20 pcs,
CPPS 10.0 ,27 pcs,
CPS 9.01 ,8pcs,
CPS 6.1 ,17pcs,
CPS 8.1,5pcs,
CPS 6.0,19pcs,
CPS 9.07 ,10pcs,
CPS 9.1 ,10pcs,
CPS 7.3 ,12pcs,
CPS 9.0 ,20pcs,
CPS 7.0 ,31pcs,
CPS 8.10,0pcs,
CPS 5.0 ,15pcs,
CPS 0.19 ,40 pcs,
CPS 2.0 ,26 pcs,
CPS 3.0 ,25pcs,
CPS 8.0 ,29 pcs,
CPS 10.01,12pcs,
CPS 10.9 ,39pcs,
CPS 10.45 ,15 pcs,
CPS 5.88 ,15 PCS,
CPS 6.3 ,13 pcs,
Ranked 1 gallon,0pcs,
Bremod 6.43 ,10 pcs,
Bremod 4.0 ,10 pcs,
Bremod 6.0 ,17 pcs,
Bremod 6.17 ,10 pcs,
Bremod 7.0 ,10pcs,
Bremod 7.3 ,13 pcs,
Bremod 8.45,10pcs,
Bremod 5.56 ,15pcs,
Bremod 7.31 ,10 pcs,
Bremod 7.4 ,12 pcs,
Bremod 0.22,10 pcs,
Bremod 6.1 ,36 pcs,
Bremod 10.61 ,39 pcs,
 Bremod 12.22,10 pcs,
Bremod 5.0 ,10pcs,
Bremod 6.5 ,14 pcs,
Bremod 10.01,1pcs,
Bremod 8.0 ,20 pcs,
Bremod 0.00, 10  pcs ,
Bremod 3.0 , 10  pcs ,
Bremod 0.19 , 10  pcs ,
Bremod 12.88 , 10  pcs ,
Bremod 7.56 ,25pcs,
Bremod 9.01 ,10 pcs,
Bremod 6.3,4 pcs,
Bremod 0.33 ,10 pcs,
Bremod 4.5,13pcs,
Bremod 2.0 ,3pcs,
Bremod 5.17 ,11pcs,
Bremod 9.0,10 pcs,
Bremod 10.0,9pcs,
Bremod 0.45,13 pcs,
Bremod 0.88,11pcs,
Bremod 5.4,13pcs,
Bremod 7.1,20 pcs,
Bremod 44.77 ,2pcs,
Bremod 0.77,3pcs,
Bremod 7.5,3pcs,
Bremod 7.7 ,17 pcs,
Bremod 7.17 ,11pcs,
Bremod 7.37,19pcs,
Bremod 7.77 ,13 pcs,
fusion 0.11 ,20 pcs,
fusion 9.11 ,24 pcs,
fusion 5.0 ,15 pcs,
fusion 6.75,2pcs,
fusion 8.0,12 pcs,
fusion 9.0 ,12pcs,
fusion 9.16,12pcs,
fusion 12.11,12pcs,
fusion 0.00 ,12pcs,
fusion 3.0,12pcs,
fusion 4.0,12pcs,
fusion 0.33 ,6pcs,
Lightness Milk Rebonding 1.250 ml ,6pcs,
Pogada cold wave lotion 120 ml ,2pcs,
Ethyl Acohol 70% ,1 Gallon,
Bella Miss shampoo 3.5 liters ,2 Gallon,
Brazillian Botox mild 500 ml,14 pcs,
Geisha white 65g ,2pack,
beauty vault set ,18 pcs,
Hamisan set rejuv ,9 pcs,
Fairy skin Derma Facial kit set,6pcs,
Beauty vault maintenance set ,5pcs,
Habibi skin Glowing facial set ,2pcs,
Amazing Beauty rejuv set ,4pcs,
Pink Glam  beauty secret set, 2pcs,
Hakari skin rejuv set,6pcs,
Habibi skin rejuv set ,2pcs,
Love skin perfection set,8pcs,
Yasuy Beauty day cream,4pcs,
Beauty vault Sunblock  cream ,1pcs,
Brilliant hair serum,1pcs,
Brilliant sunscreen ,7pcs,
Beauty milk ,2pcs,
Collagen fit gum coffee,3pcs,
Lucky Talcum powder ,6pcs,
Sunscreen Gel cream 50g,2pcs,
Skin perfection suncreen ,10 pcs,
Bs Rejuv set ,3pcs,
SY Glow spf 80 Lotion 200ml ,3pcs,
Sy Glow fast white ice cream whipp soap,6pcs,
SY Glow 24k Gold  Soap,3pcs,
Beauty Smoothie Avocado ,1pcs,
Kiffy field ,3pcs,
Hikari Skin Essentials Ultra fresh,1pcs,
A bonne collagen ,2pcs,
A bonne tomato ,3pcs,
Gluta papaya Soap Negra suprema ,6pcs,
